name,category,requirement
Custom,academics_specializations,requires_specialization
Human history,academics_specializations,
Linguistics,academics_specializations,
Literature,academics_specializations,
Arts,academics_specializations,
Philosophy,academics_specializations,
Religion,academics_specializations,
Anthropology,academics_specializations,
Archaeology,academics_specializations,
Area studies,academics_specializations,
Economics,academics_specializations,
Gender and sexuality studies,academics_specializations,
Geography,academics_specializations,
Political science,academics_specializations,
Psychology,academics_specializations,
Sociology,academics_specializations,
Biology,academics_specializations,
Chemistry,academics_specializations,
Physics,academics_specializations,
Earth sciences,academics_specializations,
Space sciences,academics_specializations,
Mathematics,academics_specializations,
Computer Sciences,academics_specializations,
Logic,academics_specializations,
Statistics,academics_specializations,
Systems Sciences,academics_specializations,
