name,category
Architect,archetypes
Artist,archetypes
Bully,archetypes
Caregiver,archetypes
Child,archetypes
Competitor,archetypes
Con Artist,archetypes
Conformist,archetypes
Curious,archetypes
Curmudgeon,archetypes
Cultured,archetypes
Enigma,archetypes
Fanatic,archetypes
Fighter,archetypes
Freak,archetypes
Free Spirit,archetypes
Judge,archetypes
Know-It-All,archetypes
Introvert,archetypes
Leader,archetypes
Loner,archetypes
Loose Cannon,archetypes
Martyr,archetypes
Mediator,archetypes
Mercenary,archetypes
Monster,archetypes
Penitent,archetypes
Protector,archetypes
Rationalist,archetypes
Royalty,archetypes
Survivor,archetypes
Teacher,archetypes
Toady,archetypes
Traditionalist,archetypes
Trickster,archetypes
Troublemaker,archetypes
Type-A Personality,archetypes
Unflappable,archetypes
Untrustworthy,archetypes
