clan,parent_clan,merit,default_cost,discipline_1,discipline_2,discipline_3,weakness_1,weakness_2,derangement,thaumaturgy_paths,necromancy_paths,camarilla_category,camarilla_cost,sabbat_category,sabbat_cost
Assamite,Assamite,,0,Celerity,Obfuscate,Quietus,"Drink Vamp blood = 2 Beast traits for 10 mins. If frenzy, try to diablerize last vampire whose blood was tasted.",,,,,"Uncommon Clan, Bloodline",4,Uncommon Clan,2
Assamite: Sorcerer,Assamite,Bloodline: Sorcerer,4,Obfuscate,Quietus,Thaumaturgy: Lure of Flames,Attempts to penetrate your Obfuscate gain +1 wild card bonus,,,2,,"Uncommon Clan, Bloodline",6,"Uncommon Clan, Bloodline",6
Assamite: Vizier,Assamite,Bloodline: Vizier,2,Auspex,Celerity,Quietus,"Derangement: Obsessive, trigger 'Unknown Knowledge'",,Obsessive [Unknown Knowledge],,,Uncommon Clan,2,"Uncommon Clan, Bloodline",4
Baali,Baali,,0,Daimoinon,Obfuscate,Presence,"Cannot look at and suffers 1 unsoakable agg, damage from touching faith objects. True Faith effects double.",,,,,Restricted Clan,6,Restricted Clan,6
Baali: Angelis Ater,Baali,Bloodline: Angelis Ater,3,Daimoinon,Dominate,,"Cannot look at and suffers 1 unsoakable agg, damage from touching faith objects. True Faith effects double.",Cast no reflection.,,,,Restricted Clan,6,Restricted Clan,6
Brujah,Brujah,,0,Celerity,Potence,Presence,Difficulty to resist frenzy is +2,,,,,Common Clan,0,Common Clan,0
Brujah: True Brujah,Brujah,Bloodline: True Brujah,4,Potence,Presence,Temporis,Lose emotional capacity. Cannot purchase Empathy. Morality costs doubled.,,,,,"Common Clan, Bloodline",4,"Common Clan, Bloodline",5
Caitiff,Caitiff,,0,,,,Cannot have more than 2 in Generation Background or teach their in-clan Disciplines.,,,,,Common Clan,0,Common Clan,0
Cappadocians,Cappadocians,,0,Auspex,Fortitude,Necromancy: Mortis Path,Ghastly pallor.,,,,1,Restricted Clan,6,Uncommon Clan,2
Cappadocians: Lamia,Cappadocians,Bloodline: Lamia,4,Fortitude,Potence,Necromancy: Mortis Path,Mortals fed from must make a test (Phys+Survival vs 8) to avoid dying in a week.,,,,1,Restricted Clan,6,Restricted Clan,6
