name,category
Assamite,clans
Assamite: Sorcerer,clans
Assamite: Vizier,clans
Baali,clans
Baali: Angelis Ater,clans
Brujah,clans
Brujah: True Brujah,clans
Caitiff,clans
Cappadocians,clans
Cappadocians: Lamia,clans
Cappadocians: Samedi,clans
Daughters of Cacophony,clans
Followers of Set,clans
Followers of Set: Tlacique,clans
Followers of Set: Vipers,clans
Gangrel,clans
Gangrel: Ahrimanes,clans
Gangrel: Coyote,clans
Gangrel: Noiad,clans
Gargoyles,clans
Giovanni,clans
Giovanni: Premascine,clans
Lasombra,clans
Lasombra: Kiasyd,clans
Malkavian,clans
Malkavian: Ananke,clans
Malkavian: Knights of the Moon,clans
Nosferatu,clans
Ravnos,clans
Ravnos: Brahman,clans
Salubri,clans
Salubri: Healer,clans
Toreador,clans
Toreador: Ishtarri,clans
Toreador: Volgirre,clans
Tremere,clans
Tremere: Telyav,clans
Tzimisce,clans
Tzimisce: Carpathian,clans
Tzimisce: Koldun,clans
Ventrue,clans
Ventrue: Crusader,clans
