name,category
Animalism,disciplines
Auspex,disciplines
Celerity,disciplines
Chimerstry,disciplines
Daimoinon,disciplines
Dementation,disciplines
Dominate,disciplines
Fortitude,disciplines
Melpominee,disciplines
Mytherceria,disciplines
Necromancy: Ash Path,disciplines
Necromancy: Bone Path,disciplines
Necromancy: Mortis Path,disciplines
Necromancy: Sepulchre Path,disciplines
Obeah,disciplines
Obfuscate,disciplines
Obtenebration,disciplines
Potence,disciplines
Presence,disciplines
Protean,disciplines
Quietus,disciplines
Serpentis,disciplines
Temporis,disciplines
Thanatosis,disciplines
Thaumaturgy: Lure of Flames,disciplines
Thaumaturgy: Movement of the Mind,disciplines
Thaumaturgy: Path of Blood,disciplines
Thaumaturgy: Path of Conjuring,disciplines
Thaumaturgy: Path of Corruption,disciplines
Thaumaturgy: Path of Elemental Mastery,disciplines
Thaumaturgy: Path of Technomancy,disciplines
Thaumaturgy: Path of Weather Mastery,disciplines
Valeran,disciplines
Vicissitude,disciplines
Visceratika,disciplines
