name,category
Animalism,extra_in_clan_disciplines
Auspex,extra_in_clan_disciplines
Celerity,extra_in_clan_disciplines
Chimerstry,extra_in_clan_disciplines
Daimoinon,extra_in_clan_disciplines
Dementation,extra_in_clan_disciplines
Dominate,extra_in_clan_disciplines
Fortitude,extra_in_clan_disciplines
Melpominee,extra_in_clan_disciplines
Mytherceria,extra_in_clan_disciplines
Necromancy: Ash Path,extra_in_clan_disciplines
Necromancy: Bone Path,extra_in_clan_disciplines
Necromancy: Mortis Path,extra_in_clan_disciplines
Necromancy: Sepulchre Path,extra_in_clan_disciplines
Obeah,extra_in_clan_disciplines
Obfuscate,extra_in_clan_disciplines
Obtenebration,extra_in_clan_disciplines
Potence,extra_in_clan_disciplines
Presence,extra_in_clan_disciplines
Protean,extra_in_clan_disciplines
Quietus,extra_in_clan_disciplines
Serpentis,extra_in_clan_disciplines
Temporis,extra_in_clan_disciplines
Thanatosis,extra_in_clan_disciplines
Thaumaturgy: Lure of Flames,extra_in_clan_disciplines
Thaumaturgy: Movement of the Mind,extra_in_clan_disciplines
Thaumaturgy: Path of Blood,extra_in_clan_disciplines
Thaumaturgy: Path of Conjuring,extra_in_clan_disciplines
Thaumaturgy: Path of Corruption,extra_in_clan_disciplines
Thaumaturgy: Path of Elemental Mastery,extra_in_clan_disciplines
Thaumaturgy: Path of Technomancy,extra_in_clan_disciplines
Thaumaturgy: Path of Weather Mastery,extra_in_clan_disciplines
Valeran,extra_in_clan_disciplines
Vicissitude,extra_in_clan_disciplines
Visceratika,extra_in_clan_disciplines
