name,category,requirement
Custom,lore_specializations,requires_specialization
Assamite,lore_specializations,
Assamite: Sorcerer,lore_specializations,
Assamite: Vizier,lore_specializations,
Baali,lore_specializations,
Baali: Angelis Ater,lore_specializations,
Brujah,lore_specializations,
Brujah: True Brujah,lore_specializations,
Caitiff,lore_specializations,
Cappadocians,lore_specializations,
Cappadocians: Lamia,lore_specializations,
Cappadocians: Samedi,lore_specializations,
Daughters of Cacophony,lore_specializations,
Followers of Set,lore_specializations,
Followers of Set: Tlacique,lore_specializations,
Followers of Set: Vipers,lore_specializations,
Gangrel,lore_specializations,
Gangrel: Ahrimanes,lore_specializations,
Gangrel: Coyote,lore_specializations,
Gangrel: Noiad,lore_specializations,
Gargoyles,lore_specializations,
Giovanni,lore_specializations,
Giovanni: Premascine,lore_specializations,
Lasombra,lore_specializations,
Lasombra: Kiasyd,lore_specializations,
Malkavian,lore_specializations,
Malkavian: Ananke,lore_specializations,
Malkavian: Knights of the Moon,lore_specializations,
Nosferatu,lore_specializations,
Ravnos,lore_specializations,
Ravnos: Brahman,lore_specializations,
Salubri,lore_specializations,
Salubri: Healer,lore_specializations,
Toreador,lore_specializations,
Toreador: Ishtarri,lore_specializations,
Toreador: Volgirre,lore_specializations,
Tremere,lore_specializations,
Tremere: Telyav,lore_specializations,
Tzimisce,lore_specializations,
Tzimisce: Carpathian,lore_specializations,
Tzimisce: Koldun,lore_specializations,
Ventrue,lore_specializations,
Ventrue: Crusader,lore_specializations,
Shadowlands,lore_specializations,
Umbra,lore_specializations,
Werewolves,lore_specializations,
Mages,lore_specializations,
Wraiths,lore_specializations,
