objectId,Kumoti,requirement,sect,specialized,help_specialization,ACL,name,updatedAt,order,requirements,quality_1,value,quality_2,note,quality_3,quality_4,quality3,quality_5,quality_6,wta_camps,focus,shareable,page_number,exceptional,affinity_1,type,createdAt,affinity_2,faction,affinity_3,Ananasi,category
00RDC69rKQ,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Rare Character,Tue Jan 14 2020 21:16:15 GMT-0500 (Eastern Standard Time),,,,4,,,,,,,,,,,,,,,Tue Jan 14 2020 21:16:15 GMT-0500 (Eastern Standard Time),,,,,ctdbs_merits
01sY5GVCiY,,Bone Gnawers,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Blessing of Mother Rat,Tue Jan 14 2020 21:16:31 GMT-0500 (Eastern Standard Time),,,,1,,,,,,,,,,,,,,Tribal,Tue Jan 14 2020 21:16:31 GMT-0500 (Eastern Standard Time),,,,,wta_merits
02qPZSU8oM,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",City airports,Sat Feb 14 2026 18:10:12 GMT-0500 (Eastern Standard Time),1,,,,,,,,,,,,,,,,,,Tue Jan 14 2020 21:16:19 GMT-0500 (Eastern Standard Time),,,,,influence_underworld_specializations
0BqBTIvNpe,,,General,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Honorable,Thu Feb 13 2020 22:50:14 GMT-0500 (Eastern Standard Time),,,,,,,,,,,,,,,,,,Fleeting,Tue Jan 14 2020 21:16:23 GMT-0500 (Eastern Standard Time),,,,,status_traits
0DjgRufWdZ,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Synchronized,Tue Jan 14 2020 21:16:26 GMT-0500 (Eastern Standard Time),,,Cantrip,1,,,,,,,,,,,,,,,Tue Jan 14 2020 21:16:26 GMT-0500 (Eastern Standard Time),,,,,wta_fetish_traits
0EqIUev4Ns,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Mercenary,Tue Jan 14 2020 21:16:10 GMT-0500 (Eastern Standard Time),,,,,,,,,,,,,,,,,,,Tue Jan 14 2020 21:16:10 GMT-0500 (Eastern Standard Time),,,,,archetype_2s
0HVE56UFe7,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Order of St. Blaise,Tue Jan 14 2020 21:16:18 GMT-0500 (Eastern Standard Time),,,,,,,,,,,,,,,,,,,Tue Jan 14 2020 21:16:18 GMT-0500 (Eastern Standard Time),,,,,factions
0IqRwVz8gy,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Haunted,Tue Jan 14 2020 21:16:18 GMT-0500 (Eastern Standard Time),,,,1,,Vengeful ghost out to make character's eternity as uncomfortable as possible. Character can hear and see the ghost.,,,,,,,,,,,,General,Tue Jan 14 2020 21:16:18 GMT-0500 (Eastern Standard Time),,,,,flaws
0PYNbimD4L,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Spirit Bond,Tue Jan 14 2020 21:16:30 GMT-0500 (Eastern Standard Time),,,,,,,,,,,,,,,,,,,Tue Jan 14 2020 21:16:30 GMT-0500 (Eastern Standard Time),,,,,wta_gnosis_sources
0SKXkOAG7g,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Bad Sight,Tue Jan 14 2020 21:16:12 GMT-0500 (Eastern Standard Time),,,,2,,,,,,,,,,,,,,,Tue Jan 14 2020 21:16:12 GMT-0500 (Eastern Standard Time),,,,,ctdbs_flaws
0TqBqbhLHj,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Speed Beyond Thought,Tue Jan 14 2020 21:16:29 GMT-0500 (Eastern Standard Time),,,,5,,,,,,,,,Wits,,,No,Silent Striders,Tribal,Tue Jan 14 2020 21:16:29 GMT-0500 (Eastern Standard Time),,,,,wta_gifts
0X1rnLAa7E,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Gangrel,Sun Mar 01 2020 22:37:45 GMT-0500 (Eastern Standard Time),1,,,,,,,,,,,,,,,,,,Tue Jan 14 2020 21:16:20 GMT-0500 (Eastern Standard Time),,,,,lore_specializations
0XgmKMNsnJ,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Lucky,Tue Jan 14 2020 21:16:15 GMT-0500 (Eastern Standard Time),,,,2,,,,,,,,,,,,,,,Tue Jan 14 2020 21:16:15 GMT-0500 (Eastern Standard Time),,,,,ctdbs_merits
0ZCVtaG69G,,,,,,"{""*"":{""read"":true},""role:Administrator"":{""read"":true,""write"":true}}",Earned,Tue Jan 14 2020 21:16:17 GMT-0500 (Eastern Standard Time),,,,,,,,,,,,,,,,,,,Tue Jan 14 2020 21:16:17 GMT-0500 (Eastern Standard Time),,,,,experience_points
