name,value,category,type,requirement,note
Absent Sway,3,merits,Clan,Toreador,Allows character to create art or performance that invokes a specific emotion. Viewers who wish to ignore or run counter to the emotion may spend 1 Willpower to ignore for an hour.
Acute Sense,1,merits,General,,One sense acts as if it were Heightened Senses. Do not have to spend Blood to use Heightened Senses with that sense.
Addictive Blood,3,merits,Clan,Followers of Set,One taste of character's blood is addictive. Creature must spend 1 Willpower to resist drinking a second time for 10 minutes. Must resist in this way 4 times to break the addiction.
Additional Common Discipline,4,merits,General,,Opens up List 1 for an additional Discipline slot.
Additional Uncommon Discipline,5,merits,General,,Opens up List 2 for an additional Discipline slot.
Ambidextrous,2,merits,General,,"Once per turn, you can use one the qualities from your main weapon and one from your off hand weapon to augment attack. Cannot be the same quality from both."
Angelic Visage,1,merits,Clan,Lasombra,Gain Social attribute focus Charisma in addition to normal attribute focus. Gain alien beauty rather than a monstrous visage w/ low Humanity or Path.
Antiquities,1,merits,Camarilla,,Expend a downtime to add Antique quality to an item of non-combat equipment. Does not count against the item's quality limit.
Arcane,1,merits,General,,"People forget character, paper trails disappear and computer files are randomly lost."
Artist's Blessing,1,merits,Clan,Toreador,Increases max level of all Craft and Performance skills by 2. Gain first 3 levels of 1 Craft or Performance skill for free.
Aura of Command,1,merits,Clan,Ventrue,Mortals and Ghouls cannot resist character's Dominate and Presence powers or techniques based off those powers.
Architect of the Tower,2,merits,Camarilla,,innate status trait Architect
Auspicious,1,merits,Clan,Caitiff,Duplicate any General merit worth up to 3 points.
Awakening the Steel,3,merits,Clan,Assamite,Spend 1 blood to summon your blade or reform it when broken.
Black Hand Membership,2,merits,Sabbat,,Gain the innate status Branded and +3 to resist Telepathy and other powers to directly pull information from your mind.
Blase,3,merits,General,,"Gain free retest against Dementation, Melpominee, and Presence. Can be used before or after the normal Willpower retest. Exception to rules limiting retests."
Blood of Tzimisce,1,merits,Clan,Tzimisce,"Gain +3 to attack pools (Physical, Social and Mental) when defending haven. Gain +2 dots of Lore skill and max increases by 2."
Born in Shadow,2,merits,Clan,Lasombra,"Once per turn, activate 1 of the first 2 levels of Obtenebration or increase the radius of Shroud of Night w/o spending Blood, all other requirements must be met."
Brotherhood,1,merits,Clan,Brujah,"Gain +2 to Brawl, Melee and Ranged attacks when attacking someone targeted by another Brujah."
Burning Wrath,2,merits,Clan,Brujah,Simple action to gain +2 wild card bonus to attack and if successful do aggravated damage with fists.
Calm Heart,1,merits,General,,Considered as having -2 Beast Traits when resisting frenzy. Gain +3 to test pool to resist frenzy. Brujah cannot take this merit. Restriction does not apply to True Brujah.
Clear Sighted,3,merits,General,,"Gain free defensive retest against Chimeristry, Mytherceria, and Obfuscate. Can be used before or after the normal Willpower retest. Exception to rules limiting retests."
