name,category
An Da Shealladh,techniques
Animal Succulence,techniques
Animal Swarm,techniques
Armor of Darkness,techniques
Banshee's Wail,techniques
Blind the Sun,techniques
Bull's Eye,techniques
Control the Savage Beast,techniques
Death's Grip,techniques
Denial of Aphrodite's Favor,techniques
Devious Feint,techniques
Echo Psychosis,techniques
Fearful Blow,techniques
Feast of Shadow,techniques
Fenrir's Boon,techniques
Fist of Stone,techniques
Flame's Bane,techniques
Guardian Lion,techniques
Instinctive Command,techniques
Ligeia's Lament,techniques
Mercurial Vitality,techniques
Monologue,techniques
Misplaced Affection,techniques
Misleading Wounds,techniques
Nightingale's Song,techniques
Quickened Blood,techniques
Radiant Gaze,techniques
Reflection of Endurance,techniques
Reflection of Mecury,techniques
Relentless Pursuit,techniques
Retain the Quick Blood,techniques
Second Wind,techniques
Sympathetic Agony,techniques
Telepathic Directive,techniques
Unnatural Grace,techniques
Visions of the True Form,techniques
Will to Survive,techniques
Wolf's Blood,techniques
